mdng,fr,mdng-remain,fr-remain
Joŋ fan ne swahe,Se forcer, Pee pə fan daŋ mbaŋ , 
Cok wo suu dəfuu ne faɓalle mai mo ŋgoŋ ɓo ne təɓəəsah ne solle ŋhaa dai zahwoiŋ cuuri,Côtes," Cok mai zahgbel 236 syimmi, zyiiri ne vovok mo gŋ Mənjwaa dah gəəzyii ɓo nyi me pəlli Gəəzyii syen me 
", 
"Pəswahe, ne suu swahe","Avec force, vigueur"," Dəɓ ah ɓaŋ ɓə daŋ ne gəəzyii toto Dəɓ ah pə gəzyii pəlli 
", 
Sorre,Mil blanc," Gəəzyo pəfai Gəəzyeo (kəzeo, gəzeo) syee no ta Gəəzyo ne ɗii camcam pəlli: Gəəzyo billi, mafai, gəəfuu daŋ", 
"Pəram, ɓe’ ye jiŋ syee",Mieux que rien," Me lwaa syiŋ pəlli ya, ka pəɓe’ ya a gbaa Jiŋ fan ah nyira ya, gbaa kal syaŋsyaŋ, wala syee ɓe Me lwaa nanaa nje ɓe, gbaa Gbaa cuu fan mai mo ka ɗii marvəə gŋ ya", 
"Mo ee gboŋ, gboŋgboŋ, ɓtv yo","Echos, bruits", , 
Ne swahe,Avec force, Zahfah coo ge tə ki gbaɓ Waa cuŋ səɓal wel gbaɓ Gbaɓ cuu fan mai dəɓ mo laa cii ahe A cuu fan mai mo joŋ ne swah ta, 
Pəfai nje nje,"Tâcheté, rayé"," Me lee zyim mafai tə 
gbaɓgbaɓ ɓo Fan ma tə gbaɓgbaɓ ka yea pəsah ya Gbaɓgbaɓ a tə gəə fai ne fuu Bii el mai ka pəsah ya, a gbaɓgbaɓ", 
"Pəluuri, pə’wahe, gbororo",Gros et rugueux," Zahwii ah a gbagboro təkolle, ka dan wii ya Rək nən ɓo gbagboro tə ee cokki Əə mai zee ɗə ya a gbagboro ’wa Gbaboro a cuu fan mai mo pəluuri, mo so yea pəyakke", 
"237 Ŋwəəməŋgai ma tə sai mo ləə ɓo mor ki, so 
manyeeki ah mo kah ɓəəra",Grande ourse," Gbahdəə pə cok mai mo ɗee ɓo na fahlii Za Mundaŋ keera cok ne ko Mo tə gbahdəə ya ɓe, mo fii za ma tan ahe", 
Kpak fanne,"Piquant, aromate"," Gbah makulli, gbah ɓeekahe, gbah syiŋjuu daŋ camcam Gbah fan a gbəə suu, a gbəə kyaŋ Gbah fan kəə dəɓ joŋ fan ne swahe Gbah yeɓ kəə za joŋ yeɓ pəlli Fan mo ka pə gbah yao ɓe, ka wuu ɓe, dəɓ ka laa gbah ah yao", 
"Fan mai mo lwəə tərĩi (tərənni), moo cur nənni","Acre, piquant", Ɓeekah ne suŋwii daŋ pəgbahe Syiŋjuu ne kul laŋ pəgbah ta Za ki ka renra fan gbah ya Fan gbah nyi fasyen nyi dəɓɓi, 
"Wahl balle, wahl tənyeere","Séparateur, protecteur, défenseur"," Fan mai dəɓ moo joŋ ka za bəə bal, wala ɗahtənyee mo ira zahe Za gak faa ɓə wo ɓəəra, wahl ra ga lalle Dəɓ bai joŋ gbahgbahɗə kan nən wo za ɓoɓo, wala taa Za ki ka ’yahra gbahgbahɗə ya, za ki a ’yahra ", 
Pəlli,"Très piquand, démangeant"," Fan ma gbah daŋ yea gbahkəkə, ka yea pə’nyahr a Gbahkəkə cuu laa fuŋ fanne Gbanrərəə cuu fan ma laa ne zahe, wala wo suu Mər goo fuŋ gbakəkə, ɓeekah gbə kyaŋ ɓo nyi me gbanrərəə", 
Lakke,"Attraper, s’entendre, tenir haut, coaguler du sang, cailler du lait"," Gbah faa ɓə ne fahlii camcam pəlli Man ki  Gbah cuu pəpaare Me gbah syiŋ gwa ka ga luma Sooje gbah za daŋgai ɓo pəpaare Mo vaŋno ɓe, dəɓ faa gbə Jeertə ahe: Soɓɓe Me vuu yaŋ gbah ɓo gwa ɓe Zəmai gbahra jul ɓo lalle Za fuu ’yahra ɓə gbah tal pəlli  kaiki, manki: Syen ki ka joŋ yeɓɓe Ru gbah zah ɓo ka ru joŋ yeɓ təki Za gak gbahra zah gak dai dappe, jemma, koo kal ta We yea vaŋno vaŋno ka, we gbah ki gwa gwa A pəsah ka na gbah jol ki ne ɓə daŋ, ne fan daŋ  ɓaŋ fan ga səŋ Za ma ne tutuwol jol woora 238 gbah ge səŋ Mo gbah jol ge səŋ ka cuu mo ka ne ɓə ki ya Jeertə ahe: Ɓoo ge səŋ, rək ge səŋ  Dəɓ mo soɓ woŋ pəgbel taa ɓe, a gbahe (gbahni)", 
Taa,Jusqu’à," Pa ɓe joŋ yeɓ pə ’wah tənah dai suŋ gbah (gbəm) Ɓə ah cii ge me sok gbah (gbəm) 
", 
"Ne swahe, pəlli",Bruit d’un jet d’eau de vomissement," Zwəə zah vaŋno gbah Dəə fal ah so zwəə zah gbah gbah Gbah gbah cuu fan ma joŋ ne swahe, so mo yea pəlli Zah ɓaŋko zwəə gbah gbah Jeertə ahe: Guguu", 
Pə ’ahe,"Dégagé, claire, en plein air"," Gbai cuu cok mai mo zahki pəsahe, mo so pə ’ah ta Me tə kyeɓ cok matə gbai ahe Mo kan pə cok matə gbai ka mo muŋ ka Me ga er bii zahbii matə gbai Gbai cuu gwari ta Jeertə ahe: Pəlaŋne, pəɓeare, wereree", 
"Dəɓ ah ka syee pəsah ya, a syee gbaigbai","Chancelant, étincellant"," Bam sah mor gbaigbai, wala haihai, tə yah syiini 
", 
"Pə ’ah pəlli, haihai","Très vaste, large, claire"," Me lwaa cok ɓo no gbaigbai, a kah yaŋ za gwa Za ki faara gbaigbai Dəɓ ah i cok ge ɓo lal gbaigbai Bam sah mor gbaigbai, tə yah syiini", 
"Weakke, hwakke","Auter l’écorce, le son, décortiquer"," Joŋ dah sor, wala swaa ga lalle Za gbak sor pə saaŋne wala za masyin Me tə ga gbak sor zah saaŋne Mah yaŋ tə gbak swaa no yaŋ piicelle", 
॥ə,"De même, aussi"," Me təŋ mor ah me faa me ga ya, me so zyii gbal Gbal cuu ɓə mai mo ’yahe, mo ’yah ya daŋ ka mo joŋ ɓe Sai mo joŋ gbal Ɓə manyeeki ah ’yah ka pah ah mo yea gŋ gbal ", 
"239 Təyah, təyai",Bouche bée," Dəɓ ah tə ɓə ki ya, kaa ɓo gballao Dəɓ mo əə zah gballao ɓe, təsəə ɗuu ga səŋ Mo əə zah ɓo gballao, fee kyaŋ ɓo ne? Gballao cuu gəə ta", 
"Gbalgbal, pəloŋ nje nje, loŋ təmmi","Natronné, salé", Bii mai gballao gballao (gbalgbal) Bii pəlak manyee ki ah a yea gballao gballao (gbalgbal) Za ki ka laara fan ma tə gballao gballao pə’nyahr a, 
"Cok fan joŋ yeɓ mai dəɓ moo maa kee, wala kər ga gŋ","Bou de la manche de houe, hache"," Pacwak coo kpahe, kəlaɓɓe, gwəə daŋ ne gballe (gbelle); manyeeki ah laŋ a yea bai gballe, a yea ne farre (fərre) Gbal fan yeɓ mo ka pəsah ya ɓe, a gaɓ dəɓɓi Za ɓaa gbal (gbel) fan yeɓ ne valle, ka mo gbel ka", 
"Taŋraŋ, səŋ","Lieu découvert, dégagé"," Me uu tə gee gballoŋ me ee cok pəsahe Dəɓ vuu yaŋ ɓo tə gee səŋ gballoŋ Dəɓ mo yee waa mawah ah gballoŋ ɓe, mo kwan cok pəsahe Cok daŋ kwan ga gballoŋ", 
"Ɓər dəə me gbam, me ur sə",Douleur intense," Ɓər tə syen me gbamgbam (pəratpərat) Ɓər mo ka tə syen dəɓ gbamgbam ya ɓe, ka tə rwaa dəɓ kpyokpyo (byobyo) Gbamgbam (pəratpərat) cuu syen ne swahe, pə’manne", 
"Lak ne jolle, gbə tətəl fan ga gŋ","Attraper par la main, mettre une toiture en paille"," Za tə gbanra dəə ga ne ko ŋhaano Gban cuu fan vaŋno, gbah cuu fan pəpaare Goo mai ka gban fan a Za gban tətəl talle, gban julli", 
"Pə gbahe, a gbəə kyaŋ",Piquant," Me laa fah kyaŋ ɓe gbanrərəə Fah voo ɓe daŋ, me laa gbanrərəə 
", 
"Ɓə ɗerewol mai mo woŋ ɓo 
camcam gwa pə Bibel",Ancienne et Nouvelle Alliance," Gbanzah Mataa ne ɗerewol gŋ 39, Gbanzah 240 Mafuu ne 27, tai daŋ 66 ॥erewol Gbanzah ma tə gwa mo taira ge təki ɓe, a ɗii ne Bibel", 
"Gbanzah cuu joŋ fan camcam pəpaare: Zyeɓ ɓə kəsyil ki, faa ɓə ah faa, wala ŋwəə ɓə ah ŋwəəre","S’accorder, décider, s’entendre, s’organiser, s’arranger, s’allier "," Ru ga joŋ ɓə gbanzah ɓuuru Gbanzah ɓuu syel ɓe we wor ne məlaŋ winni Byak ki ɓəə ŋhaa cok kanki ɓəəra Gbanzah ɓəə gak ɓeɓ comki ta Gbanzah ɓəə ge pəwah ɗə ya, woŋra ki sə Fok dəɓ ne kpahe, ŋwookyaŋ, dokzahe Za gwa mo tə joŋra fan ah daŋ ɓe, ka tə gbanra zah ki Za mo tə gbanra zah ki ɓe, ka faara ɓə nyi ki ya, ka zyiira ɓə zah ki ya, ka ’yahra fan jol ki ya ta Me ’yah dəɓ mo gbə zah ɓe ya Dəɓ vaŋno gak gban zah dəɓ ki no ta",
"Zaŋ fanne, joŋ mor ki, mor dəɓɓi","Attraper, prendre, collaborer, contribuer, coopérer, entretenir"," Ɓə gban dəɓ ka pəgaɓ ya Gban dəɓ ah gaɓ me ya Zah’nan gban ah ge ya ba Gban ah ka ne mor a Gbah jol ki, gbə gee Za rao gbəra ki pəsah Gbəko pam ɓo pəsah no cam", 
"Pə’manne, pəgoŋe",Gros, Ɓoo ɓo gbandai (gbandiŋ) na kpuu saŋne A gbandai na ɓwak ɗuu fanne Jeertə ahe: Pəlaŋne, 
"Mo ee gbandai, ɓtv yo",Gros, , 
"Juu, nje",Tiède," Bii ləə ɓo ka kah kah ya, ka pəwok ya, a gbaŋ ", 
"Fan mai mo cii pəyakke, pə’manne",Bruit qu’on entend sonner dur," Mo kəə fan gbaŋ ɓe, juu zwəəra kalle Za mo tə nĩira juu pə ’wah ɓe, a kəəra fan gbaŋgbaŋ", 
"Gəgbaŋ gəgbaŋ, təkolle, pəɗak pəɗak","Large, vaste"," Wii syee cok ɓo gbaŋgbaŋ (gəgbaŋ gəgbaŋ) Bii rwaɓ faa 241 pee ɓo gbaŋgbaŋ Gbaŋgbaŋ (gbaigbai)  cuu pə ’ah ta Cok ah soɓ ɓo gbaŋgbaŋ ’wa 
", 
"Yerri suu ɓe fai gbaotal, ka pəswah yo","Usé, fané, épuisé", , 
"Me ɓaa zahfah ge gŋ gbar, ka gak gbər a",Dur," Ɓaa ɓo gŋ gbar Haa tətəl nyi ne jol gbar 
", 
"Pəswahe, pəyəkki","Lourd, épais"," Cii mai gbaroi gbaroi, ka dah gwari ya Wel ah ka pə təjok ya, a gbaroi gbaroi Zyim ah mo gbaroi gbaroi ɓe, ka ɓeɓ gwari ya Jeertə ahe: Pətəjokri", 
Pəluuri,Gros gros," Gbaroro cuu fan ma na keesyerre, wala kəsyiiri Keesyer pəluu gbaroro Mo woo kəsyii ma tə gbaroro ahe Dəɓ gak faa: we ciŋ syel ɓo gbaroro no ta Jeertə ahe: Pənyiŋ, pənyeere", 
Zərai,"Gros, éclatant"," Dəɓ wai wii ne suŋ gbat ee cok ne ko Wii ah sah ge pə’man gbat me kyeɓ fai mai mo pə’man gbat 
", 
"Pə’manne, suu lii",Potelé," Wel ah gbattu gbattu na mataa Dəɓ ah a gbattu gbattu (gbuttu gbuttu) Jeertə ahe: Pənyiŋ, pəlaŋne, pətəjokri", 
"Juu yo, zah ah pəfuu, suu ah pəgbəə, nən ah pəsyee",Oiseau jaune," Gbahwoo (gbahyo) a təki vaŋno ne ŋgoloŋ Gbahwoo pənyeere, a ren sor pəlli, a ɓeɓra fan pəlli Təbaŋ ɓəə vaŋno kii mor ɓeɓ ’wah jer pal Me haŋ gbahwoo (gbahyo) pə ’wahe 
", 
"Ne swahe, pə’manne",Jet de rhume, Cii fan mai dəɓ moo laani Azu fiŋ mənjwaa gbee ne? Me laa ge ɓe Dəfuu ne faɓal manyeeki ah a fiŋra mənjwaa gbee Mo fiŋ mənjwaa ge lal gbeegbee, 
242 Yii təsal ma pə bii,(trou de caillou dans l’eau)," Syiŋ dan ɓogbee Me maa jol ge gbee, me zyak gbə masoo ne jolle 
", 
"Gbal, də to",Lui arriver," Me ga gbee ɗə, ko me kaa ba ", 
"Gbanne, byakke, pəlli, pəgaɓɓe",Economiste ," Za ki ka joŋra kyem ne fan a, a əŋra gbeegbee Me əŋ nah swaa ɓe ɓo gbeegbee ka mo vər ka Za gak faara laŋ dəɓ ah a gbeegbee ka nyi fan a Za ɗii dəɓ ma tə gbeegbee ne pa ’nahmme",
"Kpaakpaa, pəlli",Tremblant," Mo coo gbeegbee (kpeekpee) cel wuu pəlli ne? Dəɓ ah mo lwaa fan ɓe, a coo ne gbeegbee (kpeekpee) Gbeegbee cuu bai kaa tə ’wa ta Lwaa fan ɓe coo suu gbeegbee (kpeekpee) kal ne ko", 
Mbaŋ,Longtemps, Mo dan ɓo yaŋ gbee (gələk) mo joŋ feene? Me byak ko ge gbee ɗə Dəɓ ah dan ɓo pə cok ləə gbee a yea ma ne yeɓɓe, 
Fan ma fah kə tətəl o,Le crâne, Gbel tətəl ye woiŋ mai mo golok golok kpekpem moo kaa gŋ Dəɓ gak kwan gbel tətəl faɓea ma wul moo ɓaa ma no, 
"Lakre, ’wəəשe",Trou," Lak gbel yea pə cok dam pəlli Mo syee pəsahe, mo maa ɓal ga pə gbelle Lak gbel yea pə cok manyeeki ah pəlli", 
"Nəəni, ’wal ge lalle","Se détacher, sortir, tomber"," Dəɓ gak gbel fan mai mo gaa ɓo: Gbel kəlaɓɓe, kpahe, gwəəre Mo gbel gaa pə ki Fan yeɓ mo tə gbel gwari gwari ɓe, yeɓ ka syee ya Mo joŋ yeɓ ne kəlaɓ ah pəsahe, gbal ah pə’manne, a gbegbelle Gbel gak cuu fan mai dəɓ mo nəə ne swahe Mo gbel zahfah ge lalle Mo gbel təsal mai mo dan ɓo səŋ ge lalle", 
"243 Gbelle (billi) a lee na ŋhəəre, a yea ne ɓər ne sol na daŋne",Gourde," Zahban gbel (bil) camcam pəpaare Ara ne yeɓ ɓəə camcam ta Gbel mai dəɓ mo bee bii zwan ne ko Gbel bee bii lea ɓo me ’wahe Gbel zwan bii ne ɓər ne sol daŋ na daŋne Gbel ah lee pəwah swaɗɗe (swakle), dəɓ man (dəə) sor gŋ cyo ka ruuni Dəɓ mo tə ruu sor ne gbel ɓe, ka myah (wah) ya Gbel mai za mo woŋra ga zah tənjuŋni « njoknjok dah gbel pəsah » Za mo woŋra haihai ɓe, a dah gwari, dəɓ ka so tan pa dah ah ya Ɓə ma bai joŋ ne patətəl yea nai ta Gbel mai za moo rəkra sam gŋ ka pəəni Gbel sam mor ka byak sam ka mo myah ka Gbel sam yea pəlaŋ təroo Za faa: Mo dəə syim ɓo pə gbel (bil) ne?( galle)  Ɓə mai za moo gee mor dəɓ ne yella ’yaŋ Dəɓ mo tə faa ɓə, koo mo tə joŋ fanne daŋ a yea pəzyil ɓə ahe Mo gee gbel rol ɓo mor ɓe", 
"Fan pəzyil dəfuu, wala faɓale",Coeur," Cok kal syimmi Za ɗii ne zahgbelsyim (zahbilsyim) ta Za Torrock ne za Kah Elle ɗiira ne bilsyimmi Zahgbelsyim kaa ɓo kəsyil vovok mo woŋ ɓo gwa Ako ye myah syim ga wo suu daŋ Bilsyim 
(gbelsyim), mo ne syem ɓe, tə’yak baa dəɓɓi", 
Kpuu,Arbre," Gbem pər dər (jur) kpuugbemme, amma ka giŋ pə’man na gbem ya, a ne kpem pəlli ta 
", 
"Haihai, camcam, pə’manne, pəlli","En désordre, partout"," Taira ɓo kənah ka ɓeɓ fanne, za nĩira myah ɗul gbemma gbemma Ɓə ma nən ren gal mo ge ɓe, dəfuu myahra gbemma gbemma, wala vaŋno vaŋno", 
244 Kuu (kpuu),Arbre à parfum," Gbem jur (dər) məəliɗokri, wala təɗaori ɓo Gbem joŋ pə’man kal təɗaori ne məəliɗokri ɓe Gbem fuŋ pəlli a yee mĩi pəfai (pəpai), a syen wii pəsahe Za təəra gbem yaŋ mor fuŋ ah ka nĩi faɓeare", 
"Birim birim, gəriŋ gəriŋ",Tatonant, Bai kwo cok pəsahe Ne mĩi nahnən gbəmgbəm , 
"Inni, daa",Clin d’oeil," Gben nənni In nən watwat Mo gben nən tə ɓe ne? Laa ɓə ah nai kal tə gben nən tə ɓe Gben nən tə dəɓ cuu syea dəɓɓi, wala kan ləŋ ɓə dəɓ ya", 
"Biŋ, pə’manne ta (pə luuri)","Très petit, ou gros gros"," Təm mai gberwen ka kii naa ya Ka pəlli ya a gberwen, wala beren Gberwen cuu fan ma na təmmi, təsalle, so fan ah gər ɓo təki Təm er bii coŋ ɓoo ɓo gberwen nyee sye Za faa: məmbai, wala 
madəəre soo ɓo pəluu gberwen gberwen", 
"Pə’manne, ’wa",Couché sans rien faire," Yeɓ ah vər ya ba, swə ɓo səŋ gbiɓ Mo swə ɓo gbiɓ mo ka ne suu ya ne? 
", 
"Njimah, təgwĩi","Fou, mou, cinglé, imbécile", Wel ah gbih ɓo Dəɓ ah gbih ɓo Jeertə ahe: Belbelle, 
"Pə’manne, gəɓ",Gros," Me lwaa wom ne təgah jol gbim ɓe Təsal maluu yea pəyək gbim Mo foo bii pə zah gbim səə ge lalle Mo foo sum ne jol gbimgbim gwa Jeertə ahe: Nje, biŋ ", 
Cok (tok) taa,Demeure lambrisée," Gboŋ cuu fan ne fahlii camcam gwa:  Yaŋ swul mai dəfuu mo ka yea gŋ yao Yaŋ ah təkolle Dəɓ ah mo ee ɓe, wala dəɓ ah mo wə ɓe, yaŋ ah a ciŋ gboŋni Faɓea baa ma yaŋ gboŋ gəɓ Yaŋ gboŋ gak yea dahgbilli, wala piicelle Za faa: Fan sah, wala təsoo yea pə cel gboŋni (kəəre) Fəlli (pəlli) Cok (tok) yaŋ mataa Yaŋ mai mo zolra gin 	245 gŋ kal ge cok ki ɓe, eera fettə ɓe, yaŋ vaŋno ka gŋ yao A cuu yaŋ mai zan ah mo ge kaara ɓo fahfal zaki Pəl (fəl) Balani, 
Təfəltəranne (təpultərene) Me yea kal ɓo Fəlgouin, fəlkwaare, Fəlməmbare", 
"Laa cii fan ɓal vaŋno, wala zahləŋ pəpaare","Echos, bruit"," Me laa cii fan ge sok ɓe gboŋ Me laa fan joŋ ah gboŋ ya Yuŋ tə cii gin gboŋgboŋ (gbaaŋgbaaŋ) zah yaŋ goŋe Me laa gboŋ ah, wala gboŋgboŋ (gbaaŋgbaaŋ) ah ya syaŋsyaŋ ", 
"Bəəre, ɓə sahe","Bienveillance, bienfait, grâce, générosité, bonté, indulgence"," Fan sah mai dəɓ mo joŋ wo ɓo wala mai mo ye joŋ wo dəɓɓi Dəɓ ah a pə gboŋgboŋ A joŋ gboŋgboŋ pəlli Mo joŋ gboŋgboŋ wo dəɓ taa ɓe ne? Yeɓ gboŋgboŋ ye gbah jolle, kwansyakke Masəŋ joŋ gboŋgboŋ mor dəfuu ne zyeɓ ɓə əə ɓəəra", 
Hoŋgu,"Large, ample"," pə’manne, gbəlak Mbəro mai pə’man gboŋgi (hoŋgu) kal tə ɓo ɓe Dəɓ ah vuu cel ɓo pə’man gboŋgi Mo dan ge kaa ɓo yaŋ gboŋgi mo joŋ feene? Gee əə lak ɓo yaŋ gboŋgi gboŋgi Jeertə ahe: Biŋ, pəlaŋne", 
"॥oroo, gbəlloŋ",S’enlevé," Kəlaɓ gbel jol ɓe, gboo Gboo cuu fan mai mo joŋ ɓo ryak ryak 
", 
Ɓeɓɓe,"Moisir, rouiller"," Cokwok gboo fanne Sum mo nən ɓe a gbooni wala a gbə təgboo Təwaa gboo ɓe, mo re kao Mombai syik rimmi, mombai kəə gbooni", 
Bərri,"Tout, sans exeption"," Gboo mor səə ah ɓe, ik lal, wala vər təɗe’ təɗe’ toŋ, wala coŋ vaŋno yaBel daŋ, təɗe’ Wee təbanna, we laa, we joŋ fan pəsah pel ɓe ya ɓe, me ga nĩi we gin nyee kal gboroŋ daŋ 
", 
"246 Təɗe’, ɓoo bii zah dəɓɓi, bai joŋ fan ki","Séparer, détacher"," Təŋra tai ɓe, za mgbaira ra gbuu Kaara luma ya təŋjwəə mgbai ra gbuu Mənnəə mo yak tə kpuu ɓe, a ɓuu gin səŋ gbuu Farel mgbai za gbuu", 
Hwakke,"Oter l’ecorce, le son", Zyiŋ ga lalle Gbwak təzee (təzəə) kuu ma zaŋ ah ge lalle Gbwak (gbyak) təzee (təzəə) swaa ka swaŋni Ŋwəə manyeeki ah gbyakra sor ɗə ko laŋra sum ah ba , 
Faa,Herbe," Faa ah ne waa njaaram (jwaaram) na syiŋ kahzah kpiŋ A faara (pwaara) za ne ko, mor mo ge kyaŋ ne ɓər ɓe, a cur ne syimmi, a in dəɓɓi", 
"Kahfənni, cok mai syiŋ mo i tə’yak ne ko",Lombes," Gbyah syiŋ pə ’wahe, pəsyee Gbyah nəə ma pə bii daŋ joŋ yeɓ pə cok 
vəvokki (vovokki)", 
"Saaŋni, pəsahe","Soigner de plaie profonde, plaie bénigne, bien mûr"," Pah nwah gbyah (kpyah) nwah mai mo lwaa dai woiŋ ɓo Gbyah (kpyah) nwah a ne bone pəlli Za gbyah (kpyah) nwah nyi mo taa ɓe ne? Mo tə ga gbyahra nwah ɓe, a lwaa woiŋ Za faa: sor ah zye nahnən ɓo gbyah gbyah no ta, ’yah faa zye nən pəsahe", 
"Kahe, gbyak yaŋ","Coin, angle"," Gbyak, wala kah gbyak yaŋ, gbyak celle Wo yaŋ, pə cok matəwelekke A cuu cok mai nyah yaŋ mo zyaŋ ki ɓo gŋ ta Mo kan ge nən gbyakke A kah gbyak yaŋ gwari Za rəkra fakpahpəə pə təgolle (səgulli)", 
"Mo ee hwakke, gbwakke, ɓtv yo","Oter, écorcher ", ,
"Byah, pəlli, haihai, gbemma gbemma","Partout, un peu partout"," Sor myah ɓo gbyahn ne lii ah daŋ Ɓə ah ka pə muŋ ya, myah zyaŋ cok ɓo gbyahn daŋ Gbyan (byahn) gak cuu dəfuu ne fan daŋ ", 
247 Kyaŋ,Voix," Ɓə mai dəɓ moo laani Za tan dəɓ ne gbyaŋ (kyaŋ) ahe Mo faa ɓə ah ɓo ne gbyaŋ ki cam Dəɓ mo tə kee zah Mundaŋ ne gbyaŋ (kyaŋ) ah ɓe, a laa mor pəsahe, mo ka ne gbyaŋ ah ya ɓe, ka laa mor a", 
"Təgəə waare, gəəre","Ruisseau, rigole"," Təgəə waa mai wel moo yea ma gŋ so kpuu ne faa daŋ moo yea gŋ tənjiŋ Gbyaŋ pəgaɓɓe, za ka ga gŋ haihai ya Yaŋ daŋ mo kaa ɓo ne gbyaŋ ɓəə no Mo ge gbyaŋ taa ɓe ne? Gbyaŋ sye cok tə balbal ye ka", 
Rooni,Pincer," Joŋ ɓe’ In dəɓ ’yaŋ ka za ki mo tə ka Wee maluu gbyora (roora) wee manyeere Gbyo dəɓ ko ye in dəɓ vaŋno pə’manne, rwaa weere, cuu syak nyi za ki ne yella camcam Kal daŋ ah wee maluu gbyora wee manyee zah yaŋ, wala cok pii fanne", 
Lak kə jolle,"Prendre, saisir, attraper, tenir, s'emparer, arrêter, capturer"," Mo gbə mbaŋ Gbə faa ɓə camcam na gban ta Dəɓ gbə dəə, gbə gwii, mai cuu gbə pə jolle Gbə fanne, byak fanne, kan fanne, Mo gbə we nyee pəsahe, mo soɓ ko kyah ka Mo gbə lak ma jol ɓo mbaŋ Mo gbə ne swah ka, a dah fahlii Mo gbə suu ɓo pəsahe Gbə ɓə faani", 
"Dəwor mo tai ne madəwin ɓe, a gbə (ɓaŋ) ɓilli","Enceinter, tomber enceinte, être en grossesse",, 
"Roŋ dəɓ ahe, dəɓ malaŋ so gbə dəɓ malii ɓoo ge səŋ","Terrasser, rabaisser, abaisser", Mo gbə ko ɓoo ge səŋ o Syem gak gbə ko na mataa ya Təgbĩi ye gbə ko, 
Waa dəɓ joŋ fanne,"Obliger quelqu’un à, serrer, convaincre", Me gbə ko joŋ ne swahe Mo ’yah dəɓ mo gbə mo ɗao ne? Dəɓ mo gbə me ne swah ka, 
248 Bai yaŋ ɓəɓe’ dəɓ ki,"Etre contre qqn, être hostile à"," Gbə me ɓo ne ɓərri, faa ɓə sah ne me kpee ya Mo gbə dəɓ ne ɓər ɓe, ka mo syiŋ pah ah ɓo Za mo kiŋra fan ɓo laŋ, mo gban dəɓ ki ne ɓərri", 
"Ɓyaŋ ki, waa dəɓɓi",Convenir," Mbəro mai gbə mo ɓe Dəɓ mo faa fan mai waa mo ya ɓe, ka fan ah gbə mo ya Fagai gbə mo pəlli bai Mo maa sələə fuu ɓo, gbə mo ɓe Fan mai mo tə joŋ gbə mo ya", 
"Təwaa ah gbə tə gboo ɓe, ka nən re yao",Moisissure, , 
"’Yak kao, pee fahfal pəlli kao","Ne pas s’attarder, persister à retenir"," Me kal ɓe mo gbə foo fal ɓe kao, mo həə ge gwari 
", 
Fan wo suu talle (celle),Chainage," Za vuu tal (cel) ɓoora gbəgbyah ah daŋ ɗə, ko təŋ ruŋra tətəl ah ba Cok tə kyaŋkyaŋ mo sol tal fah kə təl ah ko ye ɗii ne gbəgbyah talle", 
"Nwah ma bai roŋni, wala ka roŋ gwari ya","Ulcère, cancer",, 
"Gbəgbəl jur jee ne waa ah, ne pwam (fam) ah daŋ","Euphorbiacee, (euphorbe candelabre), plante médicinale"," Amma jee za pea yaŋ, gbəgbəl mə ah yea cok hai, za ka pəpəə ya", 
"Pəlli, ne swahe",Partout, Dəɓ ah lee ge səŋ gbəi so hər tə sər gbəi gbəi A fee ye joŋ ko hər tə sər gbəi gbəi ne? , 
"Pəcoo, gbəl, goolom",Qui est court et gros," Mo cuŋ yerri ɓo gbəjəŋ ka pəwah ya Zah kuu soɓ ɓo pəcoo, gbəjəŋ Za cuu gbəjəŋ ga wo fan kal dəfuu ɓe", 
249 Ne swahe,Creuser ou arracher avec force," Me gaɓ ne cii cok gbəlgbəl (mgbəlmgbəl) Gbəlgbəl cuu cok ma gaɓɓe Ne kal ɓe, dəɓ cii vuu gbəlgbəl ka sah bii ba Gbəlgbəl cuu təɗe’ təɗe’ Nyin cii mombai ɓe gbəlgbəl (mgbəlmgbəl) kal ne ɓe", 
Zahsolle,Bas du cou," Cok ma tə gəə sol ne suu Gbəl syen me pəlli Me ɗəŋ liilii ŋhaa gbəl syee me Dəɓ ah lee gin tə kpuu gbəl dan təriŋ, wala hao gbəlli", 
Gwari,Détachable," Kəlaɓ gbel gbəlloŋ Vam ah gbel ge zahki gbəlloŋ Woiŋ mo ciŋ taa ɓe, a gbel gin zahki gbəlloŋ gbəlloŋ Gbəlloŋ faa ɓə tə fan ma gbel pəlli", 
Gbət,Etre en émoi," Kun sor zoo tə bii gbəlyaŋ Bii ɓaŋ zaa gbəlyaŋ kal ne ko Ru kaa ɓo fərai ba, bii ge ɓaŋ ru gbəlyaŋ Gbəlyaŋ cuu ɓə ma joŋ tə gwari Gwii gbər zah cii gbəlyaŋ Gbəlyaŋ gbəlyaŋ cuu ɓə mai mo ka pə muŋ ya Ɓə ah za laa ɓo gbəlyaŋ gbəlyaŋ Juu syii səŋ gbəlyaŋ gbəlyaŋ fee ye joŋ ɓo ne? Jeertə ahe: Rərəə, pə muŋni", 
Ryakryak,Jusqu’à," Welaŋ syee ge dai ne ɓal ah gbəm Me ga dai ko ne suu ɓe gbəm ɗə Na syee o, na ga dai gbəm Gbəm swaa ɓə ga dai cok fanne Gbəm gbəm cuu bai kwo cok pəsahe", 
